	company	fund_id	fund_name	avg	avg_type	category	fund_type	me	ydev	y5dev	risk	Link	Klusterbomber	Kemiska vapen	Kärnvapen	Vapen/krigsmateriel	Alkohol	Tobak	Spelverksamhet	Pornografi	Fossila bränslen	Kol	Uran	Genmodifierade organismer	Alkohol_comment	Fossila bränslen (olja, gas, kol)_comment	Kemiska och biologiska vapen_comment	Klusterbomber, personminor_comment	Kol_comment	Kommersiell spelverksamhet_comment	Kärnvapen_comment	Pornografi_comment	Tobak_comment	Uran_comment	Vapen och/eller krigsmateriel_comment	Övrigt_comment
336115	Aberdeen International Fund Managers Ltd	336115	Aberdeen Global - Asia Local Currency Short Duration Bond Fund	0.37	NA	Tillväxtmarknad ränta	R	NA	-1	7	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
865063	Aberdeen International Fund Managers Ltd	865063	Aberdeen Global - European Equity (Ex UK) Fund	0.67	NA	Europa	A	NA	16	13	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
367698	Aberdeen International Fund Managers Ltd	367698	Aberdeen Global - European Equity Fund	0.62	NA	Europa	A	NA	15	11	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
757575	Aberdeen International Fund Managers Ltd	757575	Aberdeen Global - Japanese Equity Fund	0.61	NA	Japan	A	NA	11	14	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
192146	Aberdeen International Fund Managers Ltd	192146	Aberdeen Global - Japanese Smaller Companies Fund	0.61	NA	Japan	A	NA	18	19	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
407775	Aberdeen International Fund Managers Ltd	407775	Aberdeen Global - North American Equity Fund	0.63	NA	USA och Nordamerika	A	NA	8	17	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
721746	Aberdeen International Fund Managers Ltd	721746	Aberdeen Global - Select Emerging Markets Bond Fund	0.37	NA	Tillväxtmarknad ränta	R	NA	1	10	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
900894	Aberdeen International Fund Managers Ltd	900894	Aberdeen Global - Select Euro High Yield Bond	0.37	NA	Europa ränta	R	NA	8	9	låg		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
551093	Aberdeen International Fund Managers Ltd	551093	Aberdeen Global - Select Global Investment Grade Credit Bond Fund	0.37	NA	Europa ränta	R	NA	2	5	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
848069	Aberdeen International Fund Managers Ltd	848069	Aberdeen Global - Technology Equity Fund	0.69	NA	IT och kommunikation	A	NA	18	19	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
515262	Aberdeen International Fund Managers Ltd	515262	Aberdeen Global - UK Equity Fund	0.63	NA	Övriga länder	A	NA	10	8	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
182584	Aktia Fondbolag Ab	182584	Aktia Capital	0.74	NA	Norden	A	NA	7	16	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
609701	Aktia Fondbolag Ab	609701	Aktia Emerging Market Bond+	0.38	NA	Tillväxtmarknad ränta	R	NA	14	8	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
573874	Aktia Fondbolag Ab	573874	Aktia Emerging Market Local Currency Bond+	0.42	NA	Tillväxtmarknad ränta	R	NA	3	6	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
303644	Aktia Fondbolag Ab	303644	Aktia Europe Small Cap	0.79	NA	Europa småbolag	A	M/E	22	-	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
196154	Aktia Fondbolag Ab	196154	Aktia Nordic	0.75	NA	Norden	A	M/E	11	15	medel		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
267815	Aktia Fondbolag Ab	267815	Aktia Nordic Micro Cap	0.79	NA	Norden	A	M/E	19	-	-	http://www.hallbarhetsprofilen.se/fund.html?isin=FI4000223565	Undviker EJ	Undviker EJ	Undviker EJ	UNDVIKER	Undviker EJ	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ						Fonden placerar inte i bolag vars huvudsakliga verksamhet är hasardspel			Fonden placerar inte i bolag vars huvudsakliga verksamhet är tobak		Fonden placerar inte i bolag vars huvudsakliga verksamhet är vapenindustri	
339473	Aktia Fondbolag Ab	339473	Aktia Nordic Small Cap	0.79	NA	Norden	A	M/E	10	19	medel	http://www.hallbarhetsprofilen.se/fund.html?isin=FI4000029632	Undviker EJ	Undviker EJ	Undviker EJ	UNDVIKER	Undviker EJ	UNDVIKER	UNDVIKER	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ	Undviker EJ						Fonden placerar inte i bolag vars huvudsakliga verksamhet är hasardspel			Fonden placerar inte i bolag vars huvudsakliga verksamhet är tobak		Fonden placerar inte i bolag vars huvudsakliga verksamhet är vapenindustri	
375303	Aktia Fondbolag Ab	375303	Aktia Secura	0.62	NA	Varierande	B	M/E	8	11	låg		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
231985	Aktia Fondbolag Ab	231985	Aktia Solida	0.47	NA	Försiktig	B	M/E	6	7	låg		Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar	Inget svar												
